ID,Query,Response,Category,Context
1,"Hi there, can you tell me more about your university?","Hello! Sure, our university offers a wide range of programs across multiple disciplines like Computer Science, Business, Engineering, and more. How can I assist you?",General Assistance,Introduction to university offerings
2,"Hi, how can you help me?","Hello! I'm Admission Bot for Sheffield University, I'm here to assist you with information about admissions, courses, deadlines, and more. What would you like to know?",General Assistance,Casual greeting and introduction
3,"Bye, thanks for the help!",You're welcome! Feel free to reach out anytime. Have a great day!,General Assistance,Conversational goodbye
4,"Okay, thanks!","No problem, happy to help! Let me know if you have any more questions.",General Assistance,Casual acknowledgement
5,What are the admission requirements?,"To apply, you'll need to submit your transcripts, test scores, a completed application form, and a personal statement.",Admission Requirements,General admission details
6,What is the minimum GPA requirement?,"The minimum GPA requirement for most programs is 3.0. For competitive programs, a higher GPA may be required.",Admission Requirements,GPA criteria for admissions
7,What documents are needed for admission?,"Required documents include your transcripts, test scores, letters of recommendation, and a personal statement.",Admission Requirements,Required documents for admission
8,What are the residency requirements?,Residency requirements vary by program. Please check our website for detailed information about the specific residency policies.,Admission Requirements,Residency requirements for different programs
9,Can I defer my admission?,"Yes, you can request a deferral by contacting the admissions office before the semester starts.",Admission Requirements,Admission deferral policy
10,What’s your policy on gap years?,We understand students may need time before starting their studies. You can defer your admission for up to one year by contacting the admissions office.,Admission Requirements,Gap year policy
11,What are the requirements for the MBA program?,"The MBA program requires a bachelor's degree, a minimum GPA of 3.0, GMAT or GRE scores, and at least two years of professional work experience.",Admission Requirements,MBA program admission requirements
12,What’s the application process like for international students?,"International students need to submit their transcripts, TOEFL/IELTS scores, passport copies, and financial documents. The process can be completed online.",International Students,Application process for international students
13,Do international students need to take the TOEFL?,"Yes, international students are required to submit TOEFL scores or equivalent as proof of English proficiency.",International Students,English language requirements
14,Is there financial aid for international students?,"Yes, we offer financial aid packages and scholarships specifically for international students. Check out our international admissions page for details.",International Students,Financial aid options for international students
15,What scholarships are available for international students?,We offer scholarships for international students based on academic performance and financial need. Please refer to the international student section for details.,Fees and Scholarships,Scholarships for international students
